"","x"
"1",528.152437782989
"2",362.720100324569
"3",596.41473787799
"4",389.588274898145
"5",649.75635196005
"6",738.218238979125
"7",357.000899364201
"8",567.507927147413
"9",702.36269064867
"10",823.988605703625
"11",621.233550714219
"12",549.66424684895
"13",553.136904112399
"14",417.283301546092
"15",593.381141556429
"16",379.776319644705
"17",647.472404413188
"18",732.277654731645
"19",398.722887578289
"20",546.948371234553
"21",608.267952645635
"22",821.849788432239
"23",577.649677060407
"24",582.952587502899
"25",561.648010629786
"26",372.881361606519
"27",585.663457122661
"28",393.090253059842
"29",677.553717195216
"30",785.599258194932
"31",373.698455830577
"32",597.026835999492
"33",607.09738336944
"34",784.554625664052
"35",559.473620018999
"36",539.084501354084
"37",576.537464371568
"38",359.715870106808
"39",614.367560932918
"40",376.435462889208
"41",633.132201933745
"42",784.558748687984
"43",427.994840464078
"44",584.279981931307
"45",670.572748679589
"46",803.095067532924
"47",597.290659172668
"48",627.161975703784
"49",549.284420208047
"50",354.791647645437
"51",632.818578273291
"52",373.709510890839
"53",661.377864113543
"54",817.993147615961
"55",402.212473909326
"56",578.756912786528
"57",673.827303179224
"58",753.346787327397
"59",569.682933007963
"60",678.177099936859
"61",594.191240182595
"62",360.706818113827
"63",646.48755957742
"64",368.263182210241
"65",667.38056098277
"66",816.551541751834
"67",413.336352094646
"68",524.197250235769
"69",685.220083767906
"70",791.921531604869
"71",540.229330339336
"72",671.160524414974
"73",577.135765756598
"74",338.385495723334
"75",628.948912957688
"76",386.258385352721
"77",663.74686221905
"78",796.352367598481
"79",400.352141908231
"80",559.186268705084
"81",702.85680863373
"82",820.910277296014
"83",550.568963713007
"84",669.943585275847
"85",610.172601710312
"86",328.815653095815
"87",643.082441618839
"88",392.890620945369
"89",716.221682757664
"90",814.300405431664
"91",441.19185229901
"92",589.120237147949
"93",711.443383163004
"94",840.483937959669
"95",564.057181513489
"96",710.989775131389
"97",679.650101473064
"98",300.562754430536
"99",651.087022476821
"100",393.16887420979
"101",684.984535458464
"102",853.892865417126
"103",422.890516970478
"104",602.037173641969
"105",669.949753498741
"106",818.933312257899
"107",587.165164914875
"108",770.975397811594
"109",634.374152245976
"110",314.800933702815
"111",664.915258208277
"112",444.691665557329
"113",715.869077486268
"114",860.381223794997
"115",462.504933897091
"116",574.893397796163
"117",673.063396121794
"118",790.519778927942
"119",578.239987760304
"120",760.749677179859
"121",636.419855604372
"122",334.509917842975
"123",644.732836242725
"124",424.811908072848
"125",661.785204193627
"126",884.410467229202
"127",411.988043621173
"128",540.979409752753
"129",634.487729926696
"130",827.420498129012
"131",544.557978845009
"132",786.814536922828
"133",558.06433129571
"134",377.127036960043
"135",665.748965012641
"136",436.683399429167
"137",689.863980661783
"138",939.299570430436
"139",435.653745244368
"140",517.347505949667
"141",659.195369765407
"142",797.880548902503
"143",567.423967984811
"144",771.389768239622
"145",547.668559292904
"146",382.289016216735
"147",652.654294953682
"148",421.036751578649
"149",692.812314130303
"150",951.767610669071
"151",447.631363951949
"152",486.593151147068
"153",606.080906361069
"154",862.614041461788
"155",576.752426746887
"156",865.748759198367
"157",534.19720432047
"158",365.174379091745
"159",640.49496905946
"160",447.673525897138
"161",721.866682280953
"162",993.489682737414
"163",402.431574601091
"164",527.537183203599
"165",685.988060486648
"166",829.125756371436
"167",591.730942276589
"168",872.114214019117
"169",520.238084838353
"170",381.762846289618
"171",613.501476081566
"172",437.868518474467
"173",756.803155985
"174",995.499525753723
"175",391.3775190647
"176",568.400820586387
"177",681.149574052235
"178",847.109336184885
"179",607.752006870816
"180",864.774971258235
"181",554.698110039571
"182",381.208649931977
"183",611.98653064522
"184",379.946237729919
"185",767.897490705259
"186",1028.33724511621
"187",386.96284614876
"188",575.80002395677
"189",702.965611352144
"190",840.885379035081
"191",599.364651843948
"192",816.710035339674
"193",521.573220976778
"194",367.331520241584
"195",639.147246346641
"196",327.153826510483
"197",761.250295206476
"198",987.600090851781
"199",380.06746214774
"200",573.029687398235
"201",734.507054354337
"202",814.576210034105
"203",559.46319379616
"204",799.966015890536
"205",575.282514849304
"206",336.39856774129
"207",637.619123125827
"208",333.452024898359
"209",796.211178021959
"210",933.030275372619
"211",403.097097369234
"212",568.67789838028
"213",716.80433330277
"214",835.524162291783
"215",551.521632643792
"216",814.632121359585
"217",530.071015120314
"218",323.118056657162
"219",627.398154092584
"220",342.427994564685
"221",774.169708548343
"222",862.759987522258
"223",407.129294502955
"224",571.070511180895
"225",710.232223962609
"226",802.44556955741
"227",536.96232148389
"228",758.903763289094
"229",530.030481556916
"230",330.321385767107
"231",645.889283876023
"232",322.914057883869
"233",797.793987540654
"234",841.890415015315
"235",378.681944789005
"236",545.18768099578
"237",715.93918531924
"238",809.130709954342
"239",507.250985685711
"240",717.332725869177
"241",545.135682856679
"242",337.602083768736
"243",626.420001996824
"244",293.873073631722
"245",746.151148251255
"246",806.731803347715
"247",364.969962309862
"248",555.082604504912
"249",732.341313995781
"250",781.834995568831
"251",471.84719762108
"252",728.07542169733
"253",533.821404554859
"254",362.576045966845
"255",622.141457825599
"256",265.542526540666
"257",762.364224347994
"258",799.28539762338
"259",343.710422530266
"260",517.199090458294
"261",752.180672050849
"262",776.865323293048
"263",464.419160382646
"264",756.21652329404
"265",552.665748253947
"266",336.856246249875
"267",614.006962055407
"268",271.40362355644
"269",691.374406415638
"270",827.108837089877
"271",367.398889640105
"272",508.062965770536
"273",769.822501809867
"274",713.679599868839
"275",422.564197389862
"276",746.549857433244
"277",515.200680923889
"278",324.076012203757
"279",601.031205189184
"280",249.883194731637
"281",736.38625671653
"282",835.843732816901
"283",338.778874369185
"284",482.829474732892
"285",789.569505374196
"286",694.834791853648
"287",418.999058552466
"288",777.878385145041
"289",572.16796365437
"290",338.407351377592
"291",592.021364490009
"292",256.205548318353
"293",729.895178965859
"294",866.928661117345
"295",324.079012292476
"296",494.080867431136
"297",763.227075852437
"298",643.014253100619
"299",407.721962414265
"300",798.30139712356
"301",548.965969953829
"302",283.637591985284
"303",589.900974824594
"304",236.894182967174
"305",691.602523229025
"306",845.600643232985
"307",340.735427398117
"308",512.8225650066
"309",768.981400892986
"310",677.7952620656
"311",392.565194615363
"312",855.498777905291
"313",556.854960694603
"314",280.117806115052
"315",607.159431695628
"316",207.341644468106
"317",678.823926170691
"318",853.052213350943
"319",359.657710528018
"320",533.101136466013
"321",763.423860278994
"322",691.695832771392
"323",338.706884718361
"324",872.950069383022
"325",519.945605619927
"326",258.426975557931
"327",607.232252124557
"328",208.740683059586
"329",671.798138975595
"330",852.502841434803
"331",276.362036387317
"332",551.35984112478
"333",787.809058964274
"334",713.261909559614
"335",344.886112231585
"336",857.032609821181
"337",534.585608270687
"338",278.447244841199
"339",588.941955790331
"340",207.779920376527
"341",678.366198157393
"342",831.220336841171
"343",265.137584101139
"344",566.670201961014
"345",761.23855369544
"346",707.274546025844
"347",336.479282892459
"348",845.390706650473
"349",543.829156351406
"350",304.117623120181
"351",583.137683427378
"352",241.237728601735
"353",643.531631503755
"354",830.657701908287
"355",219.638601351371
"356",545.67732282613
"357",778.390180995506
"358",687.279670572167
"359",354.128585537392
"360",828.880249003548
"361",559.945530546923
"362",226.656569853329
"363",578.815509650833
"364",202.752554926948
"365",689.907428899417
"366",859.075254285732
"367",249.200562230489
"368",555.018346629241
"369",744.649970553629
"370",711.267513341666
"371",325.895466471713
"372",839.167511559304
"373",523.665171864635
"374",212.604288852996
"375",576.122372316242
"376",221.0797435337
"377",706.50814623047
"378",840.07447369457
"379",252.078381217108
"380",529.682457491247
"381",787.468483517155
"382",686.624948426704
"383",364.291387889949
"384",819.832463706432
"385",551.911629242743
"386",176.11069397955
"387",555.026055139277
"388",196.892932787621
"389",749.647452339182
"390",850.504716131731
"391",254.352675781129
"392",579.622383611357
"393",763.867708357186
"394",685.606907442149
"395",330.538321097716
"396",808.574457140676
"397",537.616308318052
"398",195.492544021698
"399",569.090317886073
"400",194.932256304221
"401",751.572284356522
"402",852.692017268404
"403",209.712106955901
"404",575.333290020107
"405",793.204445924626
"406",659.871149588592
"407",319.618986944399
"408",838.132738896844
"409",556.067252985525
"410",173.120969700196
"411",569.046847499273
"412",211.888563211922
"413",763.462915067923
"414",842.140806108531
"415",182.616868605884
"416",579.675382893548
"417",791.728826519443
"418",658.272727549023
"419",307.372899401269
"420",795.875489782821
"421",589.367086658864
"422",186.113761353848
"423",620.353084392069
"424",144.283773075271
"425",748.665101196877
"426",841.062821081308
"427",200.950440830057
"428",585.583144702432
"429",822.978652211907
"430",616.749740909021
"431",306.117494875384
"432",836.351229818626
"433",551.826361480215
"434",203.561232758672
"435",562.647074592028
"436",109.65480684932
"437",717.906274346632
"438",858.5577932938
"439",225.341849981887
"440",556.836360037199
"441",875.53049507064
"442",628.707363011878
"443",337.705768784791
"444",798.778684090101
"445",578.787647798664
"446",243.307810930764
"447",543.452320982013
"448",103.895720394848
"449",717.252506974139
"450",857.897885668241
"451",230.10772395543
"452",573.847891770262
"453",870.629445572889
"454",607.428306477486
"455",381.890122564278
"456",824.240111803064
"457",570.279818174277
"458",236.574505600194
"459",539.785766900791
"460",126.410860932984
"461",708.271990766328
"462",905.623488739189
"463",220.535099121132
"464",558.439078662541
"465",879.797122875123
"466",611.125999286356
"467",391.551825053129
"468",824.890373738294
"469",618.410650712172
"470",202.127208020324
"471",519.5156221335
"472",114.474654168197
"473",712.587060517523
"474",881.104586886885
"475",216.96189513538
"476",563.862272545472
"477",901.456932438996
"478",621.797803075291
"479",468.605250802709
"480",810.408562452155
"481",637.263144194573
"482",187.155226404318
"483",496.387367997012
"484",158.120442171231
"485",715.717671872526
"486",926.256862494156
"487",213.811367950567
"488",545.238267548953
"489",869.06868161232
"490",587.197967322809
"491",443.920444399058
"492",830.322302419807
"493",618.79701750512
"494",141.171299307824
"495",506.361932293554
"496",117.705477785942
"497",745.384762985696
"498",942.942000672768
"499",247.746338108067
"500",536.284430535329
